Daily mean flow
[%Y-%m-%d],  [l/s]
date,S2
2018-09-18,10.694583333333334
2018-09-19,9.37875
2018-09-20,10.577083333333333
2018-09-21,19.978333333333335
2018-09-22,25.221666666666664
2018-09-23,18.872083333333332
2018-09-24,11.982083333333334
2018-09-25,8.798333333333334
2018-09-26,8.722083333333332
2018-09-27,11.371249999999998
2018-09-28,8.346666666666666
2018-09-29,7.346666666666667
2018-09-30,7.4175
2018-10-01,9.724583333333333
2018-10-02,14.863333333333332
2018-10-03,10.754166666666665
2018-10-04,4.97875
2018-10-05,4.025
2018-10-06,3.8325
2018-10-07,10.403333333333334
2018-10-08,4.992916666666667
2018-10-09,4.06
2018-10-10,3.4104166666666664
2018-10-11,3.2137499999999997
2018-10-12,2.908333333333333
2018-10-13,2.72125
2018-10-14,2.720416666666667
2018-10-15,2.5387500000000003
2018-10-16,2.3716666666666666
2018-10-17,2.43
2018-10-18,2.107083333333333
2018-10-19,2.049583333333333
2018-10-20,2.175
2018-10-21,2.015
2018-10-22,2.1316666666666664
2018-10-23,8.371666666666666
2018-10-24,2.9716666666666662
2018-10-25,2.597916666666667
2018-10-26,3.9920833333333334
2018-10-27,2.66
2018-10-28,2.0816666666666666
2018-10-29,2.185
2018-10-30,3.420833333333333
2018-10-31,2.7933333333333334
2018-11-01,2.4983333333333335
2018-11-02,2.8666666666666667
2018-11-03,2.9324999999999997
2018-11-04,2.5108333333333337
2018-11-05,2.65
2018-11-06,2.464166666666667
2018-11-07,2.3333333333333335
2018-11-08,2.2170833333333335
2018-11-09,3.0541666666666667
2018-11-10,3.799583333333333
2018-11-11,6.257916666666667
2018-11-12,6.1883333333333335
2018-11-13,9.808333333333334
2018-11-14,22.3625
2018-11-15,11.830833333333333
2018-11-16,8.4225
2018-11-17,6.382916666666667
2018-11-18,5.671666666666667
2018-11-19,5.245
2018-11-20,4.802083333333333
2018-11-21,4.338333333333334
2018-11-22,3.97125
2018-11-23,3.77875
2018-11-24,5.033333333333333
2018-11-25,4.077083333333333
2018-11-26,3.5366666666666666
2018-11-27,2.9466666666666668
2018-11-28,2.8354166666666667
2018-11-29,11.61125
2018-11-30,15.00625
2018-12-01,22.30458333333333
2018-12-02,41.90375
2018-12-03,47.22708333333333
2018-12-04,31.765416666666667
2018-12-05,22.317916666666665
2018-12-06,24.43625
2018-12-07,82.71416666666666
2018-12-08,166.86625
2018-12-09,146.24541666666667
2018-12-10,94.47000000000001
2018-12-11,72.15541666666667
2018-12-12,58.724583333333335
2018-12-13,46.42916666666667
2018-12-14,38.666666666666664
2018-12-15,33.85208333333333
2018-12-16,32.141666666666666
2018-12-17,26.98875
2018-12-18,24.349999999999998
2018-12-19,27.272499999999997
2018-12-20,27.37625
2018-12-21,67.92625
2018-12-22,139.49958333333333
2018-12-23,92.91708333333334
2018-12-24,79.79708333333333
2018-12-25,68.28375
2018-12-26,59.50375
2018-12-27,54.345416666666665
2018-12-28,48.89041666666666
2018-12-29,53.14291666666667
2018-12-30,68.84166666666667
2018-12-31,61.65833333333333
2019-01-01,58.03
2019-01-02,44.501666666666665
2019-01-03,39.58208333333334
2019-01-04,39.03916666666667
2019-01-05,36.61333333333334
2019-01-06,33.03375
2019-01-07,35.82083333333333
2019-01-08,82.48583333333333
2019-01-09,69.46458333333334
2019-01-10,54.30041666666667
2019-01-11,51.345
2019-01-12,66.13250000000001
2019-01-13,121.20875000000001
2019-01-14,96.82875
2019-01-15,77.59458333333333
2019-01-16,78.57083333333334
2019-01-17,135.71833333333333
2019-01-18,98.79541666666667
2019-01-19,77.16291666666667
2019-01-20,63.852916666666665
2019-01-21,57.44
2019-01-22,53.88583333333333
2019-01-23,48.18291666666667
2019-01-24,40.369166666666665
2019-01-25,38.085
2019-01-26,44.35333333333333
2019-01-27,99.36375
2019-01-28,133.25
2019-01-29,103.6825
2019-01-30,81.04
2019-01-31,66.97958333333334
2019-02-01,58.47833333333333
2019-02-02,51.53541666666666
2019-02-03,44.95791666666667
2019-02-04,46.37125
2019-02-05,79.44083333333333
2019-02-06,107.78625
2019-02-07,164.98083333333332
2019-02-08,192.64333333333332
2019-02-09,284.2416666666667
2019-02-10,204.19625
2019-02-11,178.99749999999997
2019-02-12,133.82166666666666
2019-02-13,110.865
2019-02-14,93.99333333333334
2019-02-15,82.74916666666667
2019-02-16,74.4875
2019-02-17,65.26416666666667
2019-02-18,59.74458333333333
2019-02-19,57.725
2019-02-20,52.84583333333333
2019-02-21,50.95249999999999
2019-02-22,43.43833333333333
2019-02-23,42.14625
2019-02-24,40.593333333333334
2019-02-25,37.970416666666665
2019-02-26,36.67541666666667
2019-02-27,39.13875
2019-02-28,41.205416666666665
2019-03-01,40.022083333333335
2019-03-02,41.19958333333333
2019-03-03,49.63916666666666
2019-03-04,154.20374999999999
2019-03-05,219.31583333333333
2019-03-06,178.86875
2019-03-07,249.74458333333334
2019-03-08,222.97958333333335
2019-03-09,229.19875000000002
2019-03-10,213.61333333333334
2019-03-11,187.03875000000002
2019-03-12,200.53291666666667
2019-03-13,366.64916666666664
2019-03-14,357.5095833333333
2019-03-15,391.385
2019-03-16,400.43875
2019-03-17,563.4399999999999
2019-03-18,434.6479166666666
2019-03-19,376.3979166666666
2019-03-20,308.0358333333333
2019-03-21,266.88416666666666
2019-03-22,235.27625
2019-03-23,211.89
2019-03-24,191.09583333333333
2019-03-25,176.6654166666667
2019-03-26,153.82
2019-03-27,140.03958333333333
2019-03-28,129.7275
2019-03-29,122.27541666666667
2019-03-30,111.50833333333333
2019-03-31,97.52416666666666
2019-04-01,90.36125
2019-04-02,90.46791666666667
2019-04-03,87.22375
2019-04-04,80.84083333333334
2019-04-05,72.27416666666666
2019-04-06,66.61041666666667
2019-04-07,63.135
2019-04-08,57.99875
2019-04-09,54.138749999999995
2019-04-10,50.67124999999999
2019-04-11,45.98166666666666
2019-04-12,42.77041666666667
2019-04-13,39.77875
2019-04-14,36.85541666666666
2019-04-15,34.28625
2019-04-16,32.83833333333333
2019-04-17,29.199583333333333
2019-04-18,27.23
2019-04-19,25.4725
2019-04-20,24.154583333333335
2019-04-21,23.5525
2019-04-22,22.023750000000003
2019-04-23,20.337500000000002
2019-04-24,20.386666666666667
2019-04-25,18.002083333333335
2019-04-26,17.897916666666667
2019-04-27,17.392083333333336
2019-04-28,16.650833333333335
2019-04-29,14.075416666666667
2019-04-30,12.894583333333335
2019-05-01,12.525833333333333
2019-05-02,12.447083333333333
2019-05-03,12.52625
2019-05-04,11.585416666666667
2019-05-05,10.494583333333333
2019-05-06,11.479583333333332
2019-05-07,10.400416666666667
2019-05-08,13.030833333333334
2019-05-09,22.691666666666666
2019-05-10,18.764583333333334
2019-05-11,12.54
2019-05-12,10.597916666666668
2019-05-13,9.450833333333334
2019-05-14,9.326666666666666
2019-05-15,9.288333333333334
2019-05-16,8.987083333333333
2019-05-17,9.335416666666665
2019-05-18,9.1275
2019-05-19,8.542916666666667
2019-05-20,8.219166666666666
2019-05-21,10.65625
2019-05-22,14.335833333333333
2019-05-23,8.87
2019-05-24,
2019-05-25,
2019-05-26,
2019-05-27,
2019-05-28,
2019-05-29,
2019-05-30,
2019-05-31,
2019-06-01,
2019-06-02,
2019-06-03,
2019-06-04,
2019-06-05,
2019-06-06,
2019-06-07,
2019-06-08,
2019-06-09,
2019-06-10,
2019-06-11,
2019-06-12,
2019-06-13,
2019-06-14,
2019-06-15,
2019-06-16,
2019-06-17,
2019-06-18,
2019-06-19,
2019-06-20,
2019-06-21,
2019-06-22,
2019-06-23,
2019-06-24,
2019-06-25,
2019-06-26,
2019-06-27,
2019-06-28,
2019-06-29,
2019-06-30,
2019-07-01,
2019-07-02,
2019-07-03,
2019-07-04,
2019-07-05,
2019-07-06,
2019-07-07,
2019-07-08,
2019-07-09,
2019-07-10,
2019-07-11,
2019-07-12,
2019-07-13,
2019-07-14,
2019-07-15,
2019-07-16,
2019-07-17,
2019-07-18,
2019-07-19,
2019-07-20,
2019-07-21,
2019-07-22,
2019-07-23,
2019-07-24,
2019-07-25,
2019-07-26,
2019-07-27,
2019-07-28,
2019-07-29,
2019-07-30,
2019-07-31,
2019-08-01,
2019-08-02,
2019-08-03,
2019-08-04,
2019-08-05,
2019-08-06,
2019-08-07,
2019-08-08,
2019-08-09,
2019-08-10,
2019-08-11,
2019-08-12,
2019-08-13,
2019-08-14,
2019-08-15,
2019-08-16,
2019-08-17,
2019-08-18,
2019-08-19,
2019-08-20,
2019-08-21,
2019-08-22,
2019-08-23,
2019-08-24,
2019-08-25,
2019-08-26,
2019-08-27,
2019-08-28,
2019-08-29,
2019-08-30,
2019-08-31,
2019-09-01,
2019-09-02,
